t,id,loan,income_m,dti,rate_m,macro_neg,prior_defaults,beta,kappa,gamma,omega,eta,night_active_ratio,session_std,task_completion_ratio,spending_volatility,default
1,2,2607.096840968835,3888.843778854429,0.05586700891974012,0.010667926293259057,0.13339631466295282,0,0.8041668061087146,0.9212735504749651,2.646780794620421,-2.1916264978315834,0.7604199531412055,0.5940107242057379,1.243332289489338,0.19752737847651308,0.011302494815936273,0
1,6,1411.4170655838177,4613.750848238999,0.025492943305238203,0.010667926293259057,0.13339631466295282,0,0.9746015333586941,0.5005445525728883,2.428859150073089,-0.60057969461209,0.6128392343116195,0.16230311473346287,1.0953753835731213,0.5305129068567256,0.24662448370853454,0
1,7,934.8839730962031,4054.2805490928486,0.019215985873362595,0.010667926293259057,0.13339631466295282,0,0.8546731522778863,0.25257696483523007,2.4784444520188345,1.3141282347489873,0.7494677722196088,0.21540959496025194,0.7264653148316693,0.5068861018908178,0.6181730592104444,0
1,8,1491.3533834505351,1359.1591967527745,0.09143847822815701,0.010667926293259057,0.13339631466295282,0,0.9307141275295508,0.26338961107695047,1.3340786414999695,1.0121279563906616,0.7048929368892176,0.1883810419384496,0.7796342028550686,0.6407072057013713,0.5297323164327297,0
1,10,500.0,4349.420216983684,0.009579820892901084,0.010667926293259057,0.13339631466295282,0,0.9182566261952588,0.12926167153388562,1.8083497956471182,-0.23472247285117911,0.6318414465384882,0.22459751561942595,0.6667715787904512,0.4190876752892785,0.01,0
1,11,500.0,1825.9916739773569,0.02281865096126575,0.010667926293259057,0.13339631466295282,0,0.9073040364183115,0.37091950537039314,2.873235801570773,-0.10568097025050019,0.5908115153105118,0.2162761854585975,0.8344114225962203,0.4190735454599332,0.2149395848182763,1
1,14,500.0,4122.4244092998215,0.01010732096692189,0.010667926293259057,0.13339631466295282,0,0.8595509514796423,0.45441896516425123,1.9198566438917997,0.3379739393897814,0.8456115866482177,0.28904406699694574,0.9177658461386389,0.456391419838786,0.5267076492989493,0
1,15,3342.347088138969,4591.261969800202,0.06066500361853704,0.010667926293259057,0.13339631466295282,0,0.8199762260972038,0.5205381268981984,1.560707643303775,0.5808232264313131,0.6560148545402958,0.41300890160194736,0.881132209337091,0.32128163215009065,0.8428742944732761,0
1,18,3725.044568871882,772.067604183299,0.402063729986041,0.010667926293259057,0.13339631466295282,0,0.7561572694963571,0.5784341271911445,2.569427914294582,0.6038895139792344,0.9186832462381507,0.3604426481087267,1.2880129140144816,0.4433693580695709,0.5195557306524983,1
1,20,500.0,2582.789330784253,0.016132429451384937,0.010667926293259057,0.13339631466295282,0,0.9668184522913961,0.6026019211320826,2.4229904596067895,-2.012876156618213,0.5604162759128327,0.1381172572898604,0.8309449923805391,0.4119733582313853,0.01,0
1,22,1031.8040152758822,4298.30246593978,0.02000409897186177,0.010667926293259057,0.13339631466295282,0,0.9968682626433336,0.05089418682813929,3.1363320649275446,-0.8144940892149486,0.5635492025056085,0.1695915422912152,0.5283207396578848,0.46842759397520256,0.01,0
1,23,3513.6240237637453,3954.2236554333954,0.07404791116910663,0.010667926293259057,0.13339631466295282,0,0.8950460430978177,0.34329436938540603,2.7481461741005164,0.42497858287406515,0.6188002043946667,0.23138708372170624,0.8821291568327956,0.5060731401029402,0.3264770559943192,0
1,33,674.0095806198522,3364.041081113203,0.016696426618270616,0.010667926293259057,0.13339631466295282,0,0.9706042379185996,0.4587250649036429,1.8078175920314277,1.1279249738200223,0.6330249123167743,0.034714594687486944,0.9586730387649672,0.4066574910531981,0.7149989821513538,0
1,35,500.0,1448.0138468739137,0.028775047114791022,0.010667926293259057,0.13339631466295282,0,0.9158936941734419,0.6996481271469219,1.4831503721072945,1.6251201318228023,0.958880824811966,0.25221682697548936,1.1330458457264105,0.3760462229315834,1.046399412766485,0
1,36,500.0,4885.55690356411,0.008528539834684969,0.010667926293259057,0.13339631466295282,0,0.8594793665463825,0.8966198838526057,1.339058202103807,-0.02597945913396404,0.7807042570091213,0.5208870416759408,0.9965373083057889,0.21977244475746843,0.5578512942293178,0
1,40,2898.815831626069,3359.487394713176,0.07190620400868138,0.010667926293259057,0.13339631466295282,0,0.7887203625250576,0.3696681010636256,1.9104026007957062,-0.4672234665776063,0.8265005049977145,0.20774244628510508,0.942690003762877,0.5607396838199573,0.16980396446180382,0
1,49,500.0,3207.4064854011676,0.012990765859056742,0.010667926293259057,0.13339631466295282,0,0.8384095240306108,0.4045971171256855,1.3653753035116027,-0.15649786464615068,0.3157664687380968,0.015981666208550988,0.8748899643666489,0.6052448659145538,0.3257694757832232,0
1,54,622.9318103724148,845.9701786462947,0.06136266443903283,0.010667926293259057,0.13339631466295282,0,0.846951239387008,0.3963875348554313,2.326778369199255,1.2688030647678934,0.6599853571794954,0.3018703815395578,0.6433070873278993,0.435612973697304,0.7905914925489933,0
1,55,500.0,3207.1379166570814,0.012991853718002053,0.010667926293259057,0.13339631466295282,0,0.9209891106713881,0.49474694863770674,2.467563980025339,0.17758622214101694,0.6201933753341946,0.1546849522466861,1.0447940304580143,0.4449706532370505,0.39268753501421266,0
1,56,500.0,3366.5588035496894,0.012376634153169539,0.010667926293259057,0.13339631466295282,0,0.971466174436759,1.005996636885646,1.9431787438164425,1.1069762889543993,0.568887325147967,0.429103150555736,1.2556872727152948,0.0,0.6776931892972607,0
1,59,3129.990768633021,757.9312798643291,0.344137484468831,0.010667926293259057,0.13339631466295282,0,0.9259801769278839,0.1370764291491221,1.2950935365587926,-0.04723377384404434,0.7020873356141668,0.024769126148352062,0.6015800249821993,0.6646430454351635,0.038067728983117055,0
1,63,500.0,500.0,0.08333333333333333,0.010667926293259057,0.13339631466295282,0,0.9119618656324288,0.19520184773279042,2.4363393156639126,-0.9680422797512274,0.40269206715777073,0.0,0.6459627020738226,0.4405183503222341,0.01,0
1,64,2288.095904292934,2551.643539927378,0.07472621301034259,0.010667926293259057,0.13339631466295282,0,0.8549538863141812,0.460198713560541,2.210249371618887,1.8648197372464563,0.5063218991657268,0.21920099774003104,0.8826835236080617,0.7826149280646716,0.8201311671016662,0
1,77,500.0,5727.830709868171,0.007274423560542983,0.010667926293259057,0.13339631466295282,0,0.8875409135557665,0.29401339460637793,2.254068989432318,1.8878175474636896,0.7112515441209996,0.192996721137811,0.9150211487631411,0.48774997026842715,0.8615009433876223,0
